Elevacao_deg,Azimute_otimo_deg,Desvio_z_resultante_m,Alcance_x_m,Altura_max_m,Tempo_voo_s,Diferenca_x_m
39.6,-1.35,4.259246773041941,16796.79426326996,5103.246457095753,62.04180900746973,0.0
36.2,-1.2,4.255394009403566,16715.88633845619,4513.638861885515,58.18687931606762,80.90792481377139
34.8,-1.15,2.135880508484953,16634.56347989951,4273.205766979197,56.55230933819677,81.32285855667942
33.7,-1.1,4.031470865888904,16550.86121953024,4085.6368617805,55.24901332756559,83.7022603692676
32.8,-1.1,-5.927495674659212,16469.30928122055,3933.185644058352,54.17045355785096,81.55193830969074
32.0,-1.05,-0.2012194331792396,16386.86407468531,3798.521521781521,53.20267183735474,82.4452065352416
31.2,-1.0,5.628372236873207,16294.99491152334,3664.726076058492,52.22650212072202,91.86916316196948
30.5,-1.0,-1.580263971906104,16206.85987954793,3548.415202139219,51.36556520664014,88.13503197540922
29.9,-0.95,6.465059404682914,16125.54964085969,3449.316635976558,50.62262402694941,81.31023868824013
29.3,-0.95,0.5032673726790257,16038.92219837579,3350.794858225556,49.87510078834129,86.62744248389936
28.7,-0.95,-5.321804207223595,15946.97855563895,3252.874888243626,49.12301619807527,91.94364273684005
28.2,-0.9,3.774945510931935,15866.30721468471,3171.750553764438,48.49280027415092,80.6713409542408
27.7,-0.9,-0.9513794909356375,15781.95886963071,3091.0750881018,47.85942197717807,84.34834505400067
27.2,-0.9,-5.585317767701657,15693.93977665885,3010.862088384093,47.22287396322883,88.01909297185921
26.7,-0.85,3.49050340396784,15602.2610629741,2931.122459003042,46.58314731207951,91.67871368475062
26.2,-0.85,-1.037878318541236,15506.9294118208,2851.869278407253,45.9402204076633,95.33165115329939
25.7,-0.85,-5.474464779154843,15407.95248847064,2773.114088740647,45.29406830274415,98.97692335015927
25.3,-0.8,4.41775145932391,15326.15375838277,2710.479233231903,44.77479849686937,81.79873008787035
24.9,-0.8,0.9213691731316265,15242.03182157639,2648.179836733787,44.25341519203397,84.1219368063812
24.5,-0.8,-2.516015874329639,15155.58953629455,2586.219727373832,43.72989508424339,86.44228528183885
24.1,-0.8,-5.895489208805533,15066.82834195813,2524.603944033939,43.20420010355904,88.76119433642089
23.7,-0.75,3.853207868639297,14975.75301183174,2463.34350512416,42.67629956531349,91.07533012638851
23.3,-0.75,0.5114952539834425,14882.36197625329,2402.439984749953,42.14615033508744,93.3910355784501
22.9,-0.75,-2.771247805010726,14786.65430926641,2341.902137125125,41.61371026535715,95.70766698688021
22.5,-0.75,-5.995364701442992,14688.62744867308,2281.735018696627,41.07892629931384,98.02686059333064
22.1,-0.7,3.570724072373088,14588.28074982188,2221.94457578589,40.54174683277036,100.34669885119911
21.7,-0.7,0.3771228504986021,14485.60630110197,2162.538413520161,40.00211044890241,102.67444871991029
21.3,-0.7,-2.75758854899307,14380.59738829264,2103.524966652081,39.45995729525031,105.00891280933138
21.0,-0.7,-5.069525268404016,14300.30240486495,2059.523483018067,39.05164442482756,80.29498342768966
20.7,-0.65,5.061379448383065,14218.68523920398,2015.749416120662,38.64184399839783,81.61716566096948
20.4,-0.65,2.745024130445106,14135.74049398444,1972.203157162859,38.23052434646952,82.94474521953998
20.1,-0.65,0.4626378548019731,14051.45993367458,1928.891871530578,37.81764484099936,84.28056030986045
19.8,-0.65,-1.78560761747641,13965.83720175028,1885.816225308809,37.40317294738062,85.62273192429893
19.5,-0.65,-3.999735219502745,13878.86334381788,1842.97959125577,36.98706609953429,86.97385793240028
19.2,-0.6,5.855094244285363,13790.52902146015,1800.385311465513,36.56928185555581,88.33432235773034
18.9,-0.6,3.632378672011636,13700.82624575568,1758.038258494985,36.14977926322705,89.7027757044707
18.6,-0.6,1.443453778952195,13609.74253091353,1715.942031757883,35.72851178660101,91.08371484214877
18.3,-0.6,-0.7107728370437695,13517.26519002583,1674.10054936208,35.30542574825702,92.47734088770085
18.0,-0.6,-2.830057833466552,13423.38021683469,1632.51824442694,34.88046315875144,93.88497319113958
17.7,-0.6,-4.914109244006787,13328.07334280396,1591.19910735807,34.45356748745485,95.30687403072989
17.4,-0.55,4.584478066526374,13231.32863330564,1550.150328548559,34.02467271536216,96.74470949831993
17.1,-0.55,2.486782467150229,13133.12927778188,1509.376213327284,33.59371679000595,98.19935552376046
16.8,-0.55,0.4245512840326358,13033.45337378938,1468.88250625064,33.1606220288761,99.67590399250003
16.5,-0.55,-1.60205744602594,12932.27969095165,1428.675065222133,32.72531382295371,101.17368283773067
16.2,-0.55,-3.591923575164738,12829.58344264573,1388.760621439066,32.28770581936836,102.69624830591965
15.9,-0.55,-5.545277703840027,12725.33863788674,1349.146305187531,31.84771210251621,104.24480475898963
15.6,-0.5,3.551216544551662,12619.51931671125,1309.840050443743,31.40524346033787,105.81932117548968
15.3,-0.5,1.579216598663867,12512.09020717235,1270.848400894126,30.96019236689728,107.42910953889987
15.0,-0.5,-0.3561614038786389,12403.01821589701,1232.17961016151,30.51245907245294,109.07199127534113
14.7,-0.5,-2.253384357693595,12292.26260956326,1193.843874745351,30.06191766553227,110.7556063337488
14.4,-0.5,-4.11243561288555,12179.78436417378,1155.847914303483,29.60845714584479,112.47824538948043
14.1,-0.45,4.595487713627366,12065.53680835601,1118.199058936491,29.15194083844407,114.24755581777026
13.8,-0.45,2.713199570411613,11949.46946527156,1080.907842362779,28.69222485662517,116.06734308444902
13.5,-0.45,0.8687982180799123,11831.52766062951,1043.984823788539,28.22916408791948,117.94180464205056
13.2,-0.45,-0.9360437771217461,11711.6494143994,1007.435894984485,27.76259017757551,119.87824623010965
13.0,-0.45,-2.117361781337574,11630.62379903423,983.2838469788446,27.44950928561517,81.02561536516987
12.8,-0.45,-3.280481343989699,11548.68653466005,959.3043958005021,27.13473336366116,81.93726437418081
12.6,-0.45,-4.425683957605107,11465.81572598045,935.5041379873721,26.81820675050426,82.87080867959958
12.4,-0.4,4.38016275646621,11381.98890485684,911.8829386470428,26.49987420925766,83.82682112360999
12.2,-0.4,3.198275389280695,11297.17842839612,888.4450932140006,26.17966366649685,84.81047646071966
12.0,-0.4,2.033972443705756,11211.35741157651,865.1929998100051,25.85751230856618,85.82101681961103
11.8,-0.4,0.8885129896943593,11124.49678958396,842.1310814331769,25.53335019489181,86.86062199254957
11.6,-0.4,-0.238319516890669,11036.56398083199,819.2620880149211,25.20709812242233,87.93280875196979
11.4,-0.4,-1.34659256244324,10947.5270045009,796.5905435038306,24.87868332114846,89.03697633109005
11.2,-0.4,-2.435528393449838,10857.34900861266,774.1178758863763,24.54801877258614,90.17799588823982
11.0,-0.4,-3.50489004440469,10765.99201385815,751.8495266029848,24.21501998099641,91.3569947545111
10.8,-0.4,-4.55459083978347,10673.41563643679,729.7882850797457,23.87959735763824,92.57637742135921
10.6,-0.35,3.648105157780158,10579.57536230315,707.9376448122672,23.54165037443324,93.84027413363947
10.4,-0.35,2.555894534778735,10484.42358713199,686.3032174246957,23.20107990222005,95.1517751711599
10.2,-0.35,1.483515204545136,10387.909489213,664.8865737792597,22.85778004141448,96.51409791899096
10.0,-0.35,0.4311807241951373,10289.9772848487,643.694128040276,22.51163609407135,97.93220436430056
9.8,-0.35,-0.6007101106425999,10190.56871584911,622.7277578375549,22.16253427078185,99.40856899958999
9.6,-0.35,-1.612282704879326,10089.62014319245,601.9947611477943,21.81035284178521,100.94857265665996
9.4,-0.35,-2.602332155054871,9987.062909827922,581.4968187340206,21.45496501487806,102.55723336452684
9.2,-0.35,-3.570752591448064,9882.821720665865,561.2396376621803,21.09623550322206,104.24118916205771
9.0,-0.3,4.014802291498402,9776.817613885454,541.2284279624088,20.73403240399482,106.00410678041044
8.8,-0.3,2.996776707272784,9668.962042535059,521.467330241518,20.36820955532499,107.85557135039562
8.6,-0.3,2.000208270203115,9559.16317909979,501.960223468737,19.99863624833661,109.79886343526778
8.4,-0.3,1.0253985594432,9447.317243079788,482.7132245564842,19.62516560606614,111.84593602000314
8.2,-0.3,0.0732307398422239,9333.316634387531,463.7324615159224,19.24767016429783,114.00060869225672
8.0,-0.3,-0.8563683386120324,9217.040069255421,445.0216012204139,18.86601519028108,116.27656513210968
7.8,-0.3,-1.762595038745569,9098.361738352298,426.5863074440577,18.4800977919888,118.67833090312342
7.6,-0.3,-2.644360922537579,8977.14424568934,408.4330874441303,18.08983401803004,121.21749266295774
7.4,-0.3,-3.50098738385682,8853.241354828637,390.5671076807021,17.69518145543642,123.90289086070334
7.2,-0.25,3.283069310771193,8726.497291465312,372.9936563804126,17.29614865901936,126.74406336332504
7.0,-0.25,2.365900617596731,8596.754968110961,355.7194796478732,16.8928310066133,129.74232335435045
6.8,-0.25,1.473554755309755,8463.848125055152,338.7514348083193,16.48538579247939,132.90684305580908
6.7,-0.25,1.037084240890432,8396.156169315254,330.3844436719303,16.2801846072485,67.69195573989782
6.6,-0.25,0.6078393081440275,8327.610768055585,322.0958279937965,16.07403905039158,68.54540125966923
6.5,-0.25,0.1851031615923075,8258.192332956163,313.8869286217738,15.86698378612526,69.41843509942191
6.4,-0.25,-0.2304083976772133,8187.881043599981,305.7587608543312,15.65904961909916,70.31128935618199
6.3,-0.25,-0.638688023343672,8116.655844571165,297.7120764889744,15.45025978098895,71.22519902881595
6.2,-0.25,-1.039643801425128,8044.498213040877,289.7477191749576,15.24064071878504,72.1576315302882
6.1,-0.25,-1.432890816038728,7971.388099929775,281.8665698204761,15.03020841574768,73.11011311110178
6.0,-0.25,-1.81910121516798,7897.304857099662,274.0695016664031,14.81897141578585,74.0832428301137
5.9,-0.25,-2.197169750874639,7822.229958833063,266.3581228068016,14.60693830190459,75.07489826659821
5.8,-0.25,-2.567169176703327,7746.141435516013,258.732771885782,14.39410219912586,76.0885233170502
5.7,-0.25,-2.929085388329228,7669.017456777929,251.1942960833083,14.18045281403742,77.12397873808459
5.6,-0.25,-3.282968654463472,7590.838670877972,243.7440485582583,13.96598420576261,78.17878589995689
5.5,-0.2,2.927047028674192,7511.578292598958,236.3828177021425,13.75067000943479,79.26037827901382
5.4,-0.2,2.520151136518941,7431.215298936985,229.1117601010025,13.53450465045351,80.36299366197272
5.3,-0.2,2.121191061476836,7349.724698065353,221.9322925813902,13.31747692876147,81.49060087163252
5.2,-0.2,1.72977757310387,7267.079772558662,214.8444566150639,13.09957771556299,82.64492550669092
5.1,-0.2,1.34652205716558,7183.255083496055,207.8505166049315,12.8808073529594,83.82468906260692
5.0,-0.2,0.9717855921662497,7098.223338337014,200.9508634340758,12.6611663482256,85.03174515904084
4.9,-0.2,0.6052779367794384,7011.95835001874,194.147010618707,12.4406610440362,86.26498831827394
4.8,-0.2,0.2474810300548451,6924.431098310041,187.4402817757905,12.21929293831797,87.52725170869871
4.7,-0.2,-0.1015668620361421,6835.614890247147,180.831087039003,11.99707063944993,88.81620806289448
4.6,-0.2,-0.4415734302168248,6745.480669747007,174.3209449313028,11.77399775860366,90.13422050014015
4.5,-0.2,-0.7721891964874017,6653.999566901242,167.9112759785248,11.55007876884865,91.48110284576433
4.4,-0.2,-1.0932400169257,6561.144886429764,161.6037484052269,11.32532384396263,92.85468047147879
4.3,-0.2,-1.404660750981126,6466.882488998178,155.3993261581959,11.09972479290458,94.26239743158567
4.2,-0.2,-1.705995798398143,6371.187051317013,149.2988882425298,10.87329473718314,95.69543768116455
4.1,-0.2,-1.996928756821923,6274.026652581302,143.3034587864124,10.6460312037986,97.16039873571117
4.0,-0.2,-2.277242205203299,6175.371067630682,137.4154032811582,10.41793615328789,98.65558495062032
3.9,-0.2,-2.546687783230694,6075.189388370789,131.6364363934352,10.189010851049,100.18167925989292
3.8,-0.15,2.407812484209469,5973.44896028665,125.9674462468292,9.959253015787075,101.74042808413924
3.7,-0.15,2.071010891937414,5870.118311813659,120.4085172615302,9.728665626734713,103.33064847299102
3.6,-0.15,1.744616003835776,5765.165509933025,114.9620308287863,9.497252558418067,104.95280188063407
3.5,-0.15,1.428910877932278,5658.555730496634,109.6310269131789,9.2650136518497,106.60977943639045
3.4,-0.15,1.124036026348822,5550.258935153612,104.4166943376644,9.031961990020081,108.2967953430225
3.3,-0.15,0.8303427687709183,5440.239495679376,99.31826804650595,8.798101832534813,110.0194394742357
3.2,-0.15,0.5480827944724747,5328.464423742884,94.3378402725845,8.563446320506893,111.77507193649217
3.1,-0.15,0.2774302576708865,5214.898814248222,89.47964802271905,8.3280074989986,113.56560949466166
3.0,-0.15,0.01862870382165856,5099.51315794711,84.74555133742892,8.09181129557515,115.38565630111225
2.9,-0.15,-0.2281482131615798,4982.27377471588,80.13358638448422,7.85487722390123,117.23938323123002
2.8,-0.15,-0.4625666437205392,4863.152732268167,75.64553068614126,7.61723844936841,119.12104244771308
2.7,-0.15,-0.6842452505047355,4742.121207469082,71.28841536070206,7.378927532335599,121.03152479908476
2.6,-0.15,-0.8933564238859517,4619.152555361309,67.06283773688979,7.139982453524759,122.96865210777287
2.5,-0.15,-1.089197156050133,4494.224952228841,62.964334508784,6.900451067327,124.927603132468
2.4,-0.15,-1.271768972384842,4367.326599341042,58.99832571965392,6.660399762831204,126.89835288779886
2.3,-0.15,-1.440614920855592,4238.436268237788,55.17474907242107,6.419876525924209,128.89033110325454
2.2,-0.15,-1.595436232242395,4107.563484604553,51.48600289315596,6.17898508678488,130.87278363323458
2.1,-0.1,1.732334516257343,3974.696983312842,47.92993509126024,5.937788595301637,132.8665012917113
2.0,-0.1,1.489024639807993,3839.871957427077,44.52426947429674,5.69643093633293,134.82502588576472
1.9,-0.1,1.258081980681233,3703.097683393381,41.26543367286968,5.45500539022844,136.7742740336962
1.8,-0.1,1.041822951347352,3564.438607613153,38.13945907167154,5.213696680814394,138.6590757802278
1.7,-0.1,0.8380012373073311,3423.946887481813,35.17111573396529,4.972660039871144,140.49172013134012
1.6,-0.1,0.6501850308169195,3281.72530623166,32.36209345674395,4.73212818743864,142.22158125015312
1.5,-0.1,0.4745937471666245,3137.89105956452,29.68604970276886,4.492345702445726,143.83424666713972
1.4,-0.1,0.3166139659304154,2992.617966524852,27.18130405619889,4.253636333997026,145.2730930396683
1.3,-0.1,0.1700808826488083,2846.088343325931,24.84158589731267,4.016319436500999,146.52962319892094
1.2,-0.1,0.04296703357415892,2698.634254753601,22.63347381293677,3.780933283939927,147.45408857232997
1.1,-0.1,-0.0738114490315855,2550.466117069661,20.62724799948067,3.547795175159389,148.16813768394013
1.0,-0.1,-0.1700548268932727,2402.236136816471,18.76959764357278,3.317883014298504,148.22998025318975
0.9,-0.1,-0.2562332971041345,2254.071347255844,17.06446282321663,3.091321900264798,148.164789560627
0.8,-0.1,-0.3238582914409317,2107.206033713831,15.58126263608797,2.869884084236422,146.86531354201315
0.7,-0.1,-0.3780994265652067,1961.497172184557,14.20944774940251,2.653210970761234,145.70886152927392
0.6,-0.1,-0.4217170303872965,1819.003470603386,13.08538175624671,2.444166756263994,142.49370158117108
0.5,-0.1,-0.4439957693074538,1679.22012873185,12.09729721599555,2.241780762170292,139.78334187153587
0.4,-0.1,-0.4686110972631434,1544.97681791338,11.3145713531632,2.04986539463459,134.24331081847004
0.3,-0.1,-0.4631823977122461,1415.383996051679,10.72767563529822,1.866833572183701,129.59282186170094
0.2,-0.1,-0.4720001324078428,1293.965993965814,10.30574012160585,1.697302446595128,121.41800208586506
0.1,-0.1,-0.4514474553277628,1178.536033355913,10.12732684235401,1.537857951093032,115.42996060990095
0.0,-0.1,-0.4370964146455747,1074.097212108165,10.01150200305295,1.395020385446382,104.43882124774814
-0.1,-0.05,0.4200630537848637,976.0537718246649,10.0,1.262145651546604,98.0434402835001
-0.2,-0.1,-0.3804166497723249,888.84094055679,10.0,1.144924658062767,87.21283126787489
-0.3,-0.05,0.3295004338208976,811.5550179263576,10.0,1.041804825434136,77.28592263043242
-0.4,-0.05,0.2740586366068081,740.103232176065,10.0,0.9470981596954599,71.45178575029252
-0.6,-0.05,0.2613316290354692,624.0304114699072,10.0,0.7945191231558092,116.07282070615781
-0.8,-0.05,0.1702222740937616,533.0777947219906,10.0,0.67604903614557,90.95261674791664
-1.1,-0.05,0.1731284062484593,430.1299032401924,10.0,0.5430967529111456,102.9478914817982
-1.5,-0.05,0.1298834349592644,340.905185165166,10.0,0.4288408799661523,89.22471807502637
-2.1,-0.05,0.05759977431869386,254.5175296552962,10.0,0.3190838187897792,86.38765550986983
-3.2,-0.1,-0.03586506947619218,172.8073447745236,10.0,0.2160780629686084,81.71018488077257
-6.2,-0.1,-0.03117244163981478,91.71618982876933,10.0,0.1147688254200615,81.09115494575428
-15.0,-0.05,-0.01479837247583625,37.36638195158394,10.0,0.04800809834012187,54.34980787718539
